Nodes,Pesticide_Max_Node,Refill_time,Max_num_drones,Seed,Total_time,Max_trips,Cost,Gap,Time
4.0,10.0,30.0,2.0,0.0,456.82110080121424,2.0,907.4395571360028,0.0,0.2946441173553467
4.0,10.0,30.0,2.0,1.0,398.7957398208591,2.0,1028.0796920180508,0.0,0.2492375373840332
4.0,10.0,30.0,2.0,2.0,346.12088121865855,2.0,789.5915385787118,0.0,0.3365755081176758
4.0,10.0,30.0,2.0,3.0,418.5796279527653,2.0,947.2231587238387,0.0,0.32558393478393555
4.0,10.0,30.0,2.0,4.0,502.0205857997245,2.0,1047.469678285605,0.0,0.28835082054138184
4.0,10.0,30.0,3.0,0.0,388.93127262010233,2.0,647.0254170026136,0.0,1.0615041255950928
4.0,10.0,30.0,3.0,1.0,262.35598560356686,1.0,744.0831820218779,0.0,0.09559273719787598
4.0,10.0,30.0,3.0,2.0,249.97132805825265,1.0,542.1108645882573,0.0,0.06456494331359863
4.0,10.0,30.0,3.0,3.0,319.976400520091,1.0,684.518165451646,0.0,0.06806278228759766
4.0,10.0,30.0,3.0,4.0,414.7429866418264,1.0,735.3711935875374,0.0,0.10910987854003906
4.0,10.0,30.0,4.0,0.0,264.5357681853127,1.0,490.76426685191916,0.0,0.15364408493041992
4.0,10.0,30.0,4.0,1.0,233.55571226593204,1.0,687.6456268889706,0.0,0.12570643424987793
4.0,10.0,30.0,4.0,2.0,230.613223062641,1.0,444.6708834656149,0.0,0.11160540580749512
4.0,10.0,30.0,4.0,3.0,256.9718521859852,1.0,530.5867557254999,0.0,0.13062334060668945
4.0,10.0,30.0,4.0,4.0,279.6851848670882,1.0,562.7756462806173,0.0,0.08958649635314941
4.0,10.0,60.0,2.0,0.0,486.82110080121396,2.0,984.0715336081381,0.0,0.24899506568908691
4.0,10.0,60.0,2.0,1.0,428.79573982085765,2.0,1081.339079984613,0.0,0.2071995735168457
4.0,10.0,60.0,2.0,2.0,451.3688694229982,2.0,832.7530913954972,0.0,0.23923230171203613
4.0,10.0,60.0,2.0,3.0,448.57962795276546,2.0,991.0224213553629,0.0,0.311495304107666
4.0,10.0,60.0,2.0,4.0,507.75261568209453,2.0,1053.1716040355466,0.0,0.23696255683898926
4.0,10.0,60.0,3.0,0.0,418.9312726201023,2.0,688.7478716916671,0.0,1.074491024017334
4.0,10.0,60.0,3.0,1.0,262.35598560356686,1.0,744.0831820218779,0.0,0.09058690071105957
4.0,10.0,60.0,3.0,2.0,249.97132805825265,1.0,542.1108645882573,0.0,0.0625312328338623
4.0,10.0,60.0,3.0,3.0,319.976400520091,1.0,684.518165451646,0.0,0.06506180763244629
4.0,10.0,60.0,3.0,4.0,414.7429866418264,1.0,735.3711935875374,0.0,0.07657313346862793
4.0,10.0,60.0,4.0,0.0,264.5357681853127,1.0,490.76426685191916,0.0,0.14705824851989746
4.0,10.0,60.0,4.0,1.0,233.55571226593204,1.0,687.6456268889706,0.0,0.11783504486083984
4.0,10.0,60.0,4.0,2.0,230.613223062641,1.0,444.6708834656149,0.0,0.11360883712768555
4.0,10.0,60.0,4.0,3.0,256.9718521859852,1.0,530.5867557254999,0.0,0.12612366676330566
4.0,10.0,60.0,4.0,4.0,279.6851848670882,1.0,562.7756462806173,0.0,0.07607030868530273
4.0,10.0,90.0,2.0,0.0,516.821100801214,2.0,1060.7035100802746,0.0,0.22192120552062988
4.0,10.0,90.0,2.0,1.0,458.7957398208533,2.0,1134.598467951142,0.0,0.1681652069091797
4.0,10.0,90.0,2.0,2.0,481.36886981904826,2.0,874.2344272082876,0.0,0.19462966918945312
4.0,10.0,90.0,2.0,3.0,478.5796279527654,2.0,1034.8216839868865,0.0,0.34769630432128906
4.0,10.0,90.0,2.0,4.0,537.7526156820946,2.0,1086.1027166955707,0.0,0.16318798065185547
4.0,10.0,90.0,3.0,0.0,448.9312726201022,2.0,730.4703263807204,0.0,1.0918583869934082
4.0,10.0,90.0,3.0,1.0,262.35598560356686,1.0,744.0831820218779,0.0,0.08358001708984375
